ParameterName,Min,Max,Step
ATR_Period,8,56,24
ATR_Multiplier,3,18,3
Short_Multiplier,0.2,1.0,0.4
BB_Length,15,55,20
BB_Deviation,1.5,3.5,2
Vol_Threshold,0.06,0.30,0.12
Min_Tightening,0.2,0.8,0.6
Scaling_Method,0,2,2
ATRBuy_Period,10,50,20
ATRBuyMultiplier,0.5,2.5,1
ATR_Smooth_Period,3,15,6
Entry_Mode,0,2,2
Trend_Filter_Period,4,16,12
Trend_Veto_Threshold,0,0.05,0.05
Both_Triggered_Mode,0,1,1
EquityPrice_Method,0,1,1
